"","usr_id","actual","predict","difference"
"95","215",4,3,-1
"96","222",4,2,-2
"97","230",5,2,-3
"98","236",2,4,2
"99","243",2,2,0
"100","248",5,2,-3
"101","254",1,1,0
"102","254",1,3,2
"103","256",1,5,4
"104","258",3,2,-1
"105","260",5,4,-1
"106","261",4,5,1
"107","271",4,2,-2
"108","274",3,4,1
"109","277",3,2,-1
"110","283",1,4,3
"111","286",1,5,4
"112","287",3,5,2
"113","290",1,3,2
"114","293",3,4,1
"115","296",4,3,-1
"116","303",5,3,-2
"117","304",5,4,-1
"118","305",4,5,1
"119","307",5,3,-2
"120","308",1,4,3
"121","310",2,2,0
"122","311",2,2,0
"123","312",3,2,-1
"124","314",5,5,0
"125","316",3,1,-2
"126","318",3,5,2
"127","324",5,2,-3
"128","326",2,3,1
"129","334",5,3,-2
"130","340",3,3,0
"131","340",1,2,1
"132","340",5,2,-3
"133","340",1,1,0
"134","345",5,5,0
"135","345",5,5,0
"136","346",5,3,-2
"137","346",5,1,-4
"138","349",2,2,0
"139","349",5,5,0
"140","357",2,3,1
"141","362",2,5,3
"142","363",2,4,2
"143","363",5,5,0
"144","364",4,5,1
"145","370",2,1,-1
"146","372",3,1,-2
"147","377",4,4,0
"148","380",2,2,0
"149","381",4,5,1
"150","385",5,3,-2
"151","388",1,2,1
"152","395",3,4,1
"153","395",3,2,-1
"154","399",5,3,-2
"155","399",3,2,-1
"156","401",2,4,2
"157","402",5,2,-3
"158","406",4,4,0
"159","406",3,1,-2
"160","407",2,5,3
"161","407",5,4,-1
"162","410",2,2,0
"163","417",5,5,0
"164","418",2,2,0
"165","419",3,2,-1
"166","422",5,3,-2
"167","423",2,5,3
"168","428",3,3,0
"169","428",2,5,3
"170","432",1,1,0
"171","445",4,5,1
"172","447",2,4,2
"173","451",3,5,2
"174","453",4,4,0
"175","455",4,5,1
"176","457",5,2,-3
"177","457",5,4,-1
"178","457",2,3,1
"179","458",3,5,2
"180","459",3,5,2
"181","460",2,5,3
"182","462",2,5,3
"183","465",3,3,0
"184","467",4,5,1
"185","471",4,5,1
"186","474",1,4,3
"187","475",5,3,-2
"188","475",1,2,1
"189","475",2,1,-1
"190","476",5,5,0
"191","477",3,3,0
"192","477",4,3,-1
"193","478",5,5,0
"194","480",3,5,2
"195","484",2,3,1
"196","484",2,5,3
"197","485",3,4,1
"198","485",2,2,0
"199","490",4,5,1
"200","492",3,4,1
"201","493",2,5,3
"202","497",1,3,2
"203","499",4,3,-1
"204","500",3,4,1
"205","502",5,5,0
"206","502",3,2,-1
"207","503",3,4,1
"208","507",5,3,-2
"209","508",3,5,2
"210","510",3,4,1
"211","510",3,3,0
"212","522",4,4,0
"213","523",4,3,-1
"214","526",4,1,-3
"215","531",3,2,-1
"216","531",4,3,-1
"217","531",3,3,0
"218","537",1,3,2
"219","537",3,3,0
"220","541",1,3,2
"221","545",2,2,0
"222","546",5,3,-2
"223","547",5,3,-2
"224","556",3,4,1
"225","559",5,5,0
"226","560",5,4,-1
"227","563",4,5,1
"228","564",5,4,-1
"229","567",5,1,-4
"230","573",1,2,1
"231","575",3,4,1
"232","583",4,3,-1
"233","586",4,3,-1
"234","590",4,3,-1
"235","590",5,5,0
"236","593",4,4,0
"237","596",5,5,0
"238","598",4,3,-1
"239","600",2,5,3
"240","603",5,2,-3
"241","606",3,4,1
"242","611",5,3,-2
"243","612",4,2,-2
"244","616",4,3,-1
"245","616",5,2,-3
"246","616",3,5,2
"247","616",4,3,-1
"248","620",4,2,-2
"249","621",3,4,1
"250","626",5,4,-1
"251","631",4,5,1
"252","633",4,4,0
"253","634",5,1,-4
"254","639",5,3,-2
"255","640",2,2,0
"256","642",2,1,-1
"257","648",2,4,2
"258","649",3,2,-1
"259","650",4,3,-1
"260","652",3,4,1
"261","654",2,4,2
"262","663",2,2,0
"263","666",1,4,3
"264","672",5,5,0
"265","689",4,5,1
"266","691",4,4,0
"267","695",5,4,-1
"268","695",3,2,-1
"269","695",3,3,0
"270","698",4,4,0
"271","700",5,2,-3
"272","700",5,1,-4
"273","703",5,1,-4
"274","710",3,2,-1
"275","713",3,2,-1
"276","728",5,3,-2
"277","728",4,2,-2
"278","729",5,4,-1
"279","730",1,3,2
"280","740",1,1,0
"281","745",1,3,2
"282","749",2,2,0
"283","750",3,4,1
"284","752",5,5,0
"285","763",3,2,-1
"286","767",5,3,-2
"287","770",1,4,3
"288","771",3,3,0
"289","773",5,5,0
"290","773",4,4,0
"291","779",2,1,-1
"292","779",4,4,0
"293","780",3,3,0
"294","782",5,5,0
"295","783",1,4,3
"296","786",4,5,1
"297","794",4,4,0
"298","797",2,3,1
"299","799",4,3,-1
"300","802",1,2,1
"301","803",5,2,-3
"302","811",4,5,1
"303","817",4,4,0
"304","828",4,5,1
"305","834",1,3,2
"306","837",4,5,1
"307","843",4,3,-1
"308","846",2,4,2
"309","846",3,3,0
"310","846",4,3,-1
"311","851",5,5,0
"312","852",2,3,1
"313","854",3,2,-1
"314","855",1,3,2
"315","858",2,2,0
"316","858",3,1,-2
"317","863",3,4,1
"318","866",1,2,1
"319","875",5,3,-2
"320","880",2,3,1
"321","881",3,4,1
"322","886",5,3,-2
"323","888",2,4,2
"324","888",4,4,0
"325","889",4,3,-1
"326","896",4,5,1
"327","897",4,3,-1
"328","899",4,3,-1
"329","900",3,1,-2
"330","904",3,5,2
"331","910",3,4,1
"332","911",1,5,4
"333","911",5,2,-3
"334","912",2,2,0
"335","921",2,3,1
"336","922",1,4,3
"337","931",2,5,3
"338","935",4,3,-1
"339","936",2,5,3
"340","940",4,3,-1
"341","941",1,3,2
"342","942",2,4,2
"343","943",5,3,-2
"344","943",3,4,1
"345","947",2,2,0
"346","950",5,5,0
"347","956",1,3,2
"348","956",2,2,0
"349","960",2,3,1
"350","962",2,1,-1
"351","968",4,3,-1
"352","968",5,3,-2
"353","971",3,3,0
"354","974",1,5,4
"355","974",1,3,2
"356","974",3,5,2
"357","985",3,2,-1
"358","991",4,3,-1
"359","1000",1,3,2
"360","1006",4,4,0
"361","1009",4,2,-2
"362","1009",4,4,0
"363","1009",4,5,1
"364","1010",4,3,-1
"365","1013",4,3,-1
"366","1014",2,3,1
"367","1016",5,4,-1
"368","1023",5,2,-3
"369","1024",5,4,-1
"370","1031",2,1,-1
"371","1039",4,2,-2
"372","1044",5,1,-4
"373","1046",1,3,2
"374","1046",4,3,-1
"375","1046",5,1,-4
"376","1046",2,3,1
"377","1047",2,3,1
"378","1049",5,5,0
"379","1051",3,5,2
"380","1051",2,1,-1
"381","1054",5,1,-4
"382","1061",3,2,-1
"383","1077",4,4,0
"384","1081",1,1,0
"385","1090",3,3,0
"386","1102",3,5,2
"387","1106",3,2,-1
"388","1116",1,3,2
"389","1123",2,1,-1
"390","1127",3,3,0
"391","1129",3,3,0
"392","1139",3,3,0
"393","1140",3,3,0
"394","1145",4,5,1
"395","1145",1,1,0
"396","1147",1,4,3
"397","1148",3,5,2
"398","1153",4,3,-1
"399","1154",4,4,0
"400","1155",5,5,0
"401","1160",2,1,-1
"402","1160",5,3,-2
"403","1160",1,1,0
"404","1162",2,3,1
"405","1162",2,3,1
"406","1165",1,5,4
"407","1174",5,4,-1
"408","1176",2,2,0
"409","1177",1,5,4
"410","1178",5,2,-3
"411","1178",5,5,0
"412","1181",3,5,2
"413","1181",4,5,1
"414","1185",3,3,0
"415","1193",5,2,-3
"416","1197",4,4,0
"417","1201",5,5,0
"418","1205",1,1,0
"419","1219",2,5,3
"420","1219",2,3,1
"421","1222",5,4,-1
"422","1229",3,4,1
"423","1241",1,3,2
"424","1241",5,2,-3
"425","1244",5,5,0
"426","1247",2,2,0
"427","1247",2,3,1
"428","1250",2,3,1
"429","1251",3,3,0
"430","1258",2,3,1
"431","1268",4,5,1
"432","1271",2,3,1
"433","1272",4,4,0
"434","1278",3,5,2
"435","1282",4,3,-1
"436","1283",5,4,-1
"437","1285",4,5,1
"438","1288",1,5,4
"439","1296",4,5,1
"440","1296",5,2,-3
"441","1299",1,2,1
"442","1309",3,5,2
"443","1311",5,3,-2
"444","1316",5,3,-2
"445","1316",4,5,1
"446","1316",4,3,-1
"447","1316",2,2,0
"448","1316",5,4,-1
"449","1320",2,4,2
"450","1322",5,5,0
"451","1324",2,4,2
"452","1324",4,5,1
"453","1325",2,2,0
"454","1325",2,5,3
"455","1328",4,4,0
"456","1329",4,4,0
"457","1333",2,4,2
"458","1340",1,2,1
"459","1348",1,1,0
"460","1356",1,5,4
"461","1357",5,2,-3
"462","1358",2,3,1
"463","1358",5,4,-1
"464","1363",4,1,-3
"465","1363",2,1,-1
"466","1363",2,1,-1
"467","1364",5,5,0
"468","1366",4,4,0
"469","1372",2,1,-1
"470","1380",1,2,1
"471","1380",3,2,-1
"472","1384",3,3,0
"473","1392",4,1,-3
"474","1392",5,1,-4
"475","1392",5,3,-2
"476","1395",4,4,0
"477","1397",3,4,1
"478","1403",3,2,-1
"479","1405",3,3,0
"480","1405",4,3,-1
"481","1407",2,3,1
"482","1407",5,3,-2
"483","1408",5,5,0
"484","1410",3,3,0
"485","1412",4,3,-1
"486","1412",5,3,-2
"487","1413",2,4,2
"488","1413",2,4,2
"489","1413",5,4,-1
"490","1415",2,5,3
"491","1415",4,3,-1
"492","1416",3,3,0
"493","1425",4,5,1
"494","1428",4,2,-2
"495","1429",4,3,-1
"496","1429",2,4,2
"497","1429",4,5,1
"498","1438",3,1,-2
"499","1441",3,4,1
"500","1442",1,4,3
"501","1455",2,3,1
"502","1457",2,4,2
"503","1457",3,3,0
"504","1457",3,3,0
"505","1462",4,4,0
"506","1462",3,2,-1
"507","1464",1,2,1
"508","1464",3,3,0
"509","1466",4,4,0
"510","1467",1,2,1
"511","1471",4,5,1
"512","1471",5,2,-3
"513","1472",1,3,2
"514","1474",2,2,0
"515","1483",3,3,0
"516","1488",3,5,2
"517","1489",5,3,-2
"518","1490",4,5,1
"519","1493",2,4,2
"520","1498",4,3,-1
"521","1503",3,5,2
"522","1504",3,3,0
"523","1507",3,4,1
"524","1516",1,5,4
"525","1517",3,3,0
"526","1521",2,4,2
"527","1522",5,1,-4
"528","1523",5,5,0
"529","1523",3,4,1
"530","1527",3,5,2
"531","1533",2,5,3
"532","1535",3,2,-1
"533","1545",4,2,-2
"534","1551",4,3,-1
"535","1554",3,3,0
"536","1560",4,2,-2
"537","1564",5,5,0
"538","1567",3,5,2
"539","1568",3,4,1
"540","1569",4,3,-1
"541","1573",1,3,2
"542","1576",2,5,3
"543","1588",4,3,-1
"544","1594",4,4,0
"545","1604",1,4,3
"546","1605",5,2,-3
"547","1611",5,3,-2
"548","1613",5,2,-3
"549","1616",3,4,1
"550","1617",2,1,-1
"551","1619",2,3,1
"552","1621",4,4,0
"553","1628",2,2,0
"554","1628",3,3,0
"555","1629",4,5,1
"556","1631",4,1,-3
"557","1636",1,3,2
"558","1638",5,4,-1
"559","1639",2,1,-1
"560","1641",2,3,1
"561","1641",3,4,1
"562","1643",3,4,1
"563","1651",3,3,0
"564","1652",3,2,-1
"565","1657",5,3,-2
"566","1658",5,5,0
"567","1668",1,3,2
"568","1672",3,3,0
"569","1672",3,3,0
"570","1673",4,2,-2
"571","1678",5,2,-3
"572","1679",5,3,-2
"573","1679",5,5,0
"574","1691",2,5,3
"575","1706",3,5,2
"576","1720",5,2,-3
"577","1723",2,2,0
"578","1725",3,4,1
"579","1729",5,4,-1
"580","1736",5,2,-3
"581","1736",4,5,1
"582","1737",3,2,-1
"583","1737",4,4,0
"584","1739",5,4,-1
"585","1739",2,3,1
"586","1743",4,5,1
"587","1744",3,4,1
"588","1744",4,5,1
"589","1744",5,5,0
"590","1747",5,5,0
"591","1752",5,3,-2
"592","1755",4,2,-2
"593","1756",5,4,-1
"594","1757",2,3,1
"595","1757",2,4,2
"596","1757",4,1,-3
"597","1757",4,5,1
"598","1761",5,3,-2
"599","1761",3,1,-2
"600","1766",4,5,1
"601","1767",2,3,1
"602","1767",1,2,1
"603","1773",4,1,-3
"604","1774",4,5,1
"605","1774",3,1,-2
"606","1775",4,3,-1
"607","1780",2,4,2
"608","1780",1,3,2
"609","1781",1,5,4
"610","1782",2,4,2
"611","1783",2,3,1
"612","1783",3,5,2
"613","1785",3,5,2
"614","1785",5,2,-3
"615","1786",2,1,-1
"616","1787",1,1,0
"617","1793",4,4,0
"618","1794",5,3,-2
"619","1801",2,1,-1
"620","1802",5,5,0
"621","1804",2,4,2
"622","1804",5,4,-1
"623","1809",2,3,1
"624","1810",5,3,-2
"625","1812",4,3,-1
"626","1815",1,3,2
"627","1820",5,3,-2
"628","1825",5,1,-4
"629","1827",3,3,0
"630","1828",2,4,2
"631","1832",5,5,0
"632","1833",1,3,2
"633","1834",3,3,0
"634","1838",2,5,3
"635","1840",5,5,0
"636","1842",2,2,0
"637","1843",2,5,3
"638","1845",2,3,1
"639","1848",4,3,-1
"640","1850",1,1,0
"641","1855",5,5,0
"642","1858",3,3,0
"643","1867",4,4,0
"644","1869",1,3,2
"645","1870",3,5,2
"646","1871",2,3,1
"647","1871",3,3,0
"648","1873",4,5,1
"649","1875",5,3,-2
"650","1876",1,2,1
"651","1878",5,2,-3
"652","1880",3,4,1
"653","1896",1,1,0
"654","1902",4,5,1
"655","1902",2,4,2
"656","1905",4,3,-1
"657","1906",4,2,-2
"658","1907",1,5,4
"659","1910",3,3,0
"660","1914",4,1,-3
"661","1917",4,4,0
"662","1917",1,1,0
"663","1924",2,2,0
"664","1928",4,1,-3
"665","1932",3,1,-2
"666","1943",3,1,-2
"667","1947",3,5,2
"668","1948",3,4,1
"669","1952",1,3,2
"670","1954",5,5,0
"671","1954",4,1,-3
"672","1963",5,2,-3
"673","1966",5,4,-1
"674","1966",1,4,3
"675","1966",3,4,1
"676","1969",3,5,2
"677","1970",5,3,-2
"678","1971",5,4,-1
"679","1972",1,1,0
"680","1974",2,4,2
"681","1974",4,5,1
"682","1981",3,5,2
"683","1985",3,3,0
"684","1987",1,3,2
"685","1992",4,4,0
"686","1995",1,5,4
"687","1996",1,3,2
"688","2002",4,5,1
"689","2008",3,1,-2
"690","2009",2,3,1
"691","2014",2,5,3
"692","2023",5,3,-2
"693","2031",3,5,2
"694","2032",4,4,0
"695","2032",3,5,2
"696","2036",2,5,3
"697","2036",5,2,-3
"698","2040",3,3,0
"699","2040",3,3,0
"700","2044",5,5,0
"701","2050",5,3,-2
"702","2054",3,5,2
"703","2060",5,1,-4
"704","2062",2,3,1
"705","2063",4,5,1
"706","2067",4,4,0
"707","2072",1,4,3
"708","2076",3,3,0
"709","2078",2,4,2
"710","2080",1,3,2
"711","2088",4,2,-2
"712","2097",3,4,1
"713","2103",5,4,-1
"714","2104",3,3,0
"715","2104",1,3,2
"716","2111",3,4,1
"717","2112",5,5,0
"718","2112",2,1,-1
"719","2116",4,5,1
"720","2121",1,4,3
"721","2125",5,4,-1
"722","2132",2,5,3
"723","2138",5,5,0
"724","2138",2,1,-1
"725","2143",4,5,1
"726","2146",1,4,3
"727","2153",3,1,-2
"728","2156",3,2,-1
"729","2159",5,5,0
"730","2161",5,4,-1
"731","2164",3,4,1
"732","2167",3,4,1
"733","2171",3,5,2
"734","2172",5,4,-1
"735","2172",5,4,-1
"736","2178",4,3,-1
"737","2179",2,3,1
"738","2179",1,4,3
"739","2181",2,2,0
"740","2181",2,5,3
"741","2185",5,4,-1
"742","2185",1,2,1
"743","2191",3,2,-1
"744","2192",3,5,2
"745","2192",5,5,0
"746","2194",1,5,4
"747","2197",3,4,1
"748","2199",4,5,1
"749","2200",3,3,0
"750","2200",4,2,-2
"751","2200",4,5,1
"752","2200",3,5,2
"753","2210",3,5,2
"754","2211",4,4,0
"755","2213",5,5,0
"756","2214",2,4,2
"757","2216",3,3,0
"758","2226",4,3,-1
"759","2230",3,4,1
"760","2231",3,4,1
"761","2232",4,5,1
"762","2233",4,4,0
"763","2234",3,4,1
"764","2235",5,4,-1
"765","2239",5,5,0
"766","2240",5,3,-2
"767","2245",5,5,0
"768","2249",3,5,2
"769","2250",4,4,0
"770","2250",5,2,-3
"771","2251",4,5,1
"772","2260",2,1,-1
"773","2262",5,1,-4
"774","2263",5,4,-1
"775","2266",5,5,0
"776","2276",2,3,1
"777","2281",4,4,0
"778","2283",2,3,1
"779","2284",4,3,-1
"780","2292",2,3,1
"781","2294",5,2,-3
"782","2302",1,1,0
"783","2305",2,3,1
"784","2311",5,2,-3
"785","2311",3,1,-2
"786","2312",2,2,0
"787","2313",3,3,0
"788","2313",4,3,-1
"789","2324",1,3,2
"790","2327",3,3,0
"791","2330",1,2,1
"792","2333",2,4,2
"793","2335",4,3,-1
"794","2336",4,1,-3
"795","2343",5,5,0
"796","2348",5,4,-1
"797","2350",2,4,2
"798","2350",3,4,1
"799","2355",3,1,-2
"800","2355",4,5,1
"801","2366",1,3,2
"802","2368",3,5,2
"803","2369",4,2,-2
"804","2372",5,4,-1
"805","2376",3,4,1
"806","2379",2,4,2
"807","2382",3,2,-1
"808","2384",2,3,1
"809","2396",2,2,0
"810","2399",2,4,2
"811","2400",1,3,2
"812","2405",1,2,1
"813","2406",3,2,-1
"814","2407",5,4,-1
"815","2407",4,3,-1
"816","2410",3,5,2
"817","2410",1,2,1
"818","2420",5,3,-2
"819","2425",1,3,2
"820","2426",5,4,-1
"821","2426",2,5,3
"822","2427",5,4,-1
"823","2429",5,2,-3
"824","2429",3,1,-2
"825","2432",1,4,3
"826","2435",2,3,1
"827","2439",5,3,-2
"828","2440",5,4,-1
"829","2443",2,3,1
"830","2445",3,2,-1
"831","2449",4,1,-3
"832","2451",5,4,-1
"833","2451",2,2,0
"834","2458",3,3,0
"835","2462",4,3,-1
"836","2462",2,1,-1
"837","2470",3,2,-1
"838","2478",5,3,-2
"839","2489",2,4,2
"840","2492",4,4,0
"841","2497",2,4,2
"842","2499",3,2,-1
"843","2500",3,5,2
"844","2506",3,5,2
"845","2511",3,3,0
"846","2515",3,4,1
"847","2516",5,3,-2
"848","2519",5,1,-4
"849","2519",5,3,-2
"850","2525",2,4,2
"851","2533",3,2,-1
"852","2540",4,4,0
"853","2540",4,1,-3
"854","2540",2,4,2
"855","2542",3,4,1
"856","2547",2,5,3
"857","2547",3,4,1
"858","2547",3,2,-1
"859","2548",4,3,-1
"860","2551",3,1,-2
"861","2557",2,2,0
"862","2557",1,4,3
"863","2559",3,4,1
"864","2559",3,2,-1
"865","2559",1,1,0
"866","2559",3,4,1
"867","2559",2,4,2
"868","2559",1,4,3
"869","2569",2,5,3
"870","2574",2,3,1
"871","2574",5,4,-1
"872","2575",5,5,0
"873","2580",2,2,0
"874","2580",1,2,1
"875","2585",2,5,3
"876","2588",3,4,1
"877","2602",5,4,-1
"878","2603",1,4,3
"879","2607",1,4,3
"880","2611",5,5,0
"881","2615",4,4,0
"882","2616",2,4,2
"883","2622",3,1,-2
"884","2623",1,3,2
"885","2626",4,4,0
"886","2627",5,5,0
"887","2628",5,5,0
"888","2632",4,4,0
"889","2633",3,5,2
"890","2637",1,4,3
"891","2640",4,4,0
"892","2645",2,5,3
"893","2649",5,3,-2
"894","2653",5,1,-4
"895","2659",5,5,0
"896","2672",3,5,2
"897","2674",4,3,-1
"898","2676",1,5,4
"899","2680",1,3,2
"900","2682",4,3,-1
"901","2692",2,4,2
"902","2693",4,1,-3
"903","2694",3,5,2
"904","2695",3,5,2
"905","2696",2,4,2
"906","2696",4,3,-1
"907","2699",2,2,0
"908","2699",2,2,0
"909","2716",5,2,-3
"910","2718",5,3,-2
"911","2720",3,3,0
"912","2720",2,3,1
"913","2723",4,3,-1
"914","2730",3,5,2
"915","2731",4,2,-2
"916","2733",1,5,4
"917","2733",3,2,-1
"918","2734",2,3,1
"919","2739",5,1,-4
"920","2741",5,5,0
"921","2755",4,4,0
"922","2755",5,1,-4
"923","2759",3,2,-1
"924","2769",1,3,2
"925","2771",2,3,1
"926","2778",3,4,1
"927","2781",2,1,-1
"928","2787",2,1,-1
"929","2787",3,5,2
"930","2790",4,5,1
"931","2793",5,5,0
"932","2795",4,4,0
"933","2798",4,1,-3
"934","2808",3,3,0
"935","2813",3,3,0
"936","2814",5,5,0
"937","2815",1,3,2
"938","2815",4,4,0
"939","2815",3,4,1
"940","2817",3,5,2
"941","2817",1,4,3
"942","2821",3,4,1
"943","2823",4,1,-3
"944","2825",1,5,4
"945","2826",2,2,0
"946","2826",1,4,3
"947","2846",2,2,0
"948","2851",4,5,1
"949","2857",2,2,0
"950","2864",2,1,-1
"951","2864",3,1,-2
"952","2864",5,4,-1
"953","2865",2,2,0
"954","2865",3,4,1
"955","2867",2,5,3
"956","2867",2,3,1
"957","2868",3,4,1
"958","2875",4,3,-1
"959","2877",4,1,-3
"960","2879",1,5,4
"961","2883",4,2,-2
"962","2883",3,2,-1
"963","2886",3,5,2
"964","2886",2,5,3
"965","2888",1,5,4
"966","2889",4,5,1
"967","2890",1,4,3
"968","2895",1,3,2
"969","2900",3,1,-2
"970","2901",5,5,0
"971","2901",4,3,-1
"972","2901",3,1,-2
"973","2902",4,3,-1
"974","2904",4,4,0
"975","2905",4,3,-1
"976","2905",4,3,-1
"977","2909",3,2,-1
"978","2910",4,2,-2
"979","2910",5,3,-2
"980","2910",3,3,0
"981","2917",5,3,-2
"982","2920",4,3,-1
"983","2922",3,3,0
"984","2922",3,2,-1
"985","2922",2,3,1
"986","2926",2,5,3
"987","2926",3,4,1
"988","2927",3,4,1
"989","2931",2,2,0
"990","2931",5,5,0
"991","2935",2,5,3
"992","2940",4,4,0
"993","2945",4,4,0
"994","2947",5,5,0
"995","2948",3,2,-1
"996","2950",3,5,2
"997","2958",2,4,2
"998","2968",5,3,-2
"999","2968",3,5,2
"1000","2970",4,4,0
"1001","7",4,2.5,-1.5
"1002","10",5,5,0
"1003","14",1,4.5,3.5
"1004","15",3,2.5,-0.5
"1005","19",4,3,-1
"1006","32",4,3.5,-0.5
"1007","36",5,4.5,-0.5
"1008","40",1,5,4
"1009","43",1,1.5,0.5
"1010","43",3,3,0
"1011","44",2,2,0
"1012","45",1,2.5,1.5
"1013","45",4,4,0
"1014","45",3,2,-1
"1015","46",4,2.5,-1.5
"1016","49",4,4.5,0.5
"1017","49",3,4.5,1.5
"1018","49",5,5,0
"1019","50",1,2,1
"1020","55",3,3.5,0.5
"1021","57",2,2.5,0.5
"1022","59",3,4,1
"1023","59",1,2.5,1.5
"1024","60",4,4.5,0.5
"1025","61",3,5,2
"1026","62",3,4,1
"1027","62",5,5,0
"1028","66",5,3,-2
"1029","67",1,1.5,0.5
"1030","75",4,4.5,0.5
"1031","76",3,2.5,-0.5
"1032","78",3,4.5,1.5
"1033","79",4,4.5,0.5
"1034","80",4,4.5,0.5
"1035","85",3,2,-1
"1036","86",5,5,0
"1037","86",3,4,1
"1038","89",3,4,1
"1039","89",3,4.5,1.5
"1040","89",2,1.5,-0.5
"1041","90",3,4.5,1.5
"1042","94",2,4,2
"1043","94",4,1.5,-2.5
"1044","95",4,4.5,0.5
"1045","95",5,2.5,-2.5
"1046","100",5,3,-2
"1047","102",4,3,-1
"1048","102",5,4.5,-0.5
"1049","103",3,3,0
"1050","106",3,2,-1
"1051","106",4,4,0
"1052","113",4,2.5,-1.5
"1053","115",4,3.5,-0.5
"1054","127",2,1.5,-0.5
"1055","129",3,3.5,0.5
"1056","130",3,2,-1
"1057","132",2,2.5,0.5
"1058","133",3,4,1
"1059","137",3,3,0
"1060","141",5,4.5,-0.5
"1061","148",5,3,-2
"1062","151",2,4,2
"1063","151",1,1.5,0.5
"1064","151",4,3.5,-0.5
"1065","161",3,5,2
"1066","162",4,4.5,0.5
"1067","166",2,3.5,1.5
"1068","166",5,4.5,-0.5
"1069","166",5,4.5,-0.5
"1070","170",2,3,1
"1071","170",3,2.5,-0.5
"1072","171",2,2.5,0.5
"1073","177",4,3,-1
"1074","179",5,4,-1
"1075","179",2,2,0
"1076","180",2,3.5,1.5
"1077","181",5,3.5,-1.5
"1078","186",3,3,0
"1079","189",3,5,2
"1080","194",2,3,1
"1081","195",4,4,0
"1082","196",4,2.5,-1.5
"1083","196",3,3.5,0.5
"1084","198",1,1.5,0.5
"1085","200",2,3.5,1.5
"1086","201",3,2.5,-0.5
"1087","202",2,2.5,0.5
"1088","202",2,4,2
"1089","202",1,3,2
"1090","204",4,2.5,-1.5
"1091","207",3,3,0
"1092","211",4,3,-1
"1093","211",5,2.5,-2.5
"1094","212",5,3,-2
"1095","215",4,4,0
"1096","222",4,3,-1
"1097","230",5,2,-3
"1098","236",2,3,1
"1099","243",2,3,1
"1100","248",5,3,-2
"1101","254",1,2,1
"1102","254",1,2.5,1.5
"1103","256",1,3,2
"1104","258",3,2.5,-0.5
"1105","260",5,4.5,-0.5
"1106","261",4,5,1
"1107","271",4,3,-1
"1108","274",3,4.5,1.5
"1109","277",3,3.5,0.5
"1110","283",1,3,2
"1111","286",1,5,4
"1112","287",3,3.5,0.5
"1113","290",1,3,2
"1114","293",3,4.5,1.5
"1115","296",4,4,0
"1116","303",5,2,-3
"1117","304",5,3,-2
"1118","305",4,4,0
"1119","307",5,2,-3
"1120","308",1,2.5,1.5
"1121","310",2,2.5,0.5
"1122","311",2,1.5,-0.5
"1123","312",3,1.5,-1.5
"1124","314",5,3.5,-1.5
"1125","316",3,1,-2
"1126","318",3,3.5,0.5
"1127","324",5,3.5,-1.5
"1128","326",2,4,2
"1129","334",5,4,-1
"1130","340",3,2.5,-0.5
"1131","340",1,2,1
"1132","340",5,3,-2
"1133","340",1,1,0
"1134","345",5,4.5,-0.5
"1135","345",5,5,0
"1136","346",5,2.5,-2.5
"1137","346",5,3,-2
